matrix_label,classifier_id,classifier_name,n_harmonized_genes,n_genes_present,missing_genes,n_source_rows_total,n_source_rows_with_harmonized_gene_symbol,n_unique_harmonized_genes,coverage_pct_of_harmonized,coverage_grade,dataset_accession,platform,planned_role,story_scope,usable_for_full_benchmark,usable_for_subtype_only_validation,expression_scale_guess,analysis_set
GSE130786_GPL6480,ENDOPREDICT_11,EndoPredict 11-gene set,11,10,UBE2C,11,11,11,90.9,usable_with_minor_missingness,GSE130786,GPL6480,subtype_validation_HER2_positive,subtype_HER2_positive,no,yes,likely_log2_or_normalized_continuous,subtype_validation_only
GSE163882_GPL18573,ENDOPREDICT_11,EndoPredict 11-gene set,11,11,"",11,11,11,100,excellent,GSE163882,GPL18573,external_validation_6_RNAseq_FFPE,full_benchmark,yes,no,likely_linear_count_or_unlogged_intensity,core_full_benchmark
GSE194040_GPL20078,ENDOPREDICT_11,EndoPredict 11-gene set,11,11,"",11,11,11,100,excellent,GSE194040,GPL20078,large_stress_test_I-SPY2,full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive,stress_test_only,yes,likely_log2_or_normalized_continuous,large_stress_test
GSE194040_GPL30493,ENDOPREDICT_11,EndoPredict 11-gene set,11,11,"",11,11,11,100,excellent,GSE194040,GPL30493,large_stress_test_I-SPY2,full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive,stress_test_only,yes,likely_log2_or_normalized_continuous,large_stress_test
GSE20271_GPL96,ENDOPREDICT_11,EndoPredict 11-gene set,11,11,"",11,11,11,100,excellent,GSE20271,GPL96,external_validation_1,full_benchmark,yes,no,likely_linear_count_or_unlogged_intensity,core_full_benchmark
GSE25066_GPL96,ENDOPREDICT_11,EndoPredict 11-gene set,11,11,"",11,11,11,100,excellent,GSE25066,GPL96,discovery_model_reconstruction_base,full_benchmark,yes,no,likely_log2_or_normalized_continuous,core_full_benchmark
GSE32646_GPL570,ENDOPREDICT_11,EndoPredict 11-gene set,11,11,"",11,11,11,100,excellent,GSE32646,GPL570,external_validation_2_and_TNBC_ER_negative,full_benchmark;subtype_TNBC_ER_negative,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE41998_GPL571,ENDOPREDICT_11,EndoPredict 11-gene set,11,11,"",11,11,11,100,excellent,GSE41998,GPL571,external_validation_3,full_benchmark,yes,no,likely_log2_or_normalized_continuous,core_full_benchmark
GSE50948_GPL570,ENDOPREDICT_11,EndoPredict 11-gene set,11,11,"",11,11,11,100,excellent,GSE50948,GPL570,external_validation_4_and_HER2_positive,full_benchmark;subtype_HER2_positive,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE66305_GPL570,ENDOPREDICT_11,EndoPredict 11-gene set,11,11,"",11,11,11,100,excellent,GSE66305,GPL570,external_validation_5_and_HER2_positive,full_benchmark;subtype_HER2_positive,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE106977_GPL17586,GENE76,Wang 76-gene distant-metastasis signature,58,0,ABLIM1;ACACB;AP2A2;ARHGDIB;ATAD2;BCL2L14;C11ORF51;C11ORF9;C1ORF66;C3;CAPN2;CBX3;CCNE2;CD44;CEP57;CLN8;CNKSR1;COL2A1;DUSP4;EEF1A2;ETV2;FEN1;FKBP2;GABRQ;GAS2;GFOD2;GOLM1;GTSE1;HIST1H4H;IL18;KIAA0913;KPNA2;LST1;MAP4;MLF1IP;MMP23B;MYH2;NCAPG2;NEFL;NEURL;OR12D2;ORC3L;PARP4;PHF11;PLK1;POLQ;PPP1CC;PSMC2;RFXDC2;SLC35A1;SMC4;SUPT16H;TACC2;TMEM8;TNFSF10;UCKL1;YIF1A;ZCCHC8,76,61,58,0,poor,GSE106977,GPL17586,subtype_validation_TNBC,subtype_TNBC_ER_negative,no,limited_gene_space_review_needed,likely_log2_or_normalized_continuous,limited_subtype_panel_or_gene_space
GSE109710_GPL24546,GENE76,Wang 76-gene distant-metastasis signature,58,7,ABLIM1;ACACB;AP2A2;BCL2L14;C11ORF51;C11ORF9;C1ORF66;C3;CBX3;CEP57;CLN8;CNKSR1;COL2A1;DUSP4;EEF1A2;ETV2;FEN1;FKBP2;GABRQ;GAS2;GFOD2;GOLM1;GTSE1;HIST1H4H;IL18;KIAA0913;KPNA2;LST1;MAP4;MLF1IP;MMP23B;MYH2;NCAPG2;NEFL;NEURL;OR12D2;ORC3L;PARP4;PHF11;PLK1;POLQ;PPP1CC;PSMC2;RFXDC2;SLC35A1;SMC4;SUPT16H;TACC2;TMEM8;UCKL1;YIF1A;ZCCHC8,76,61,58,12.1,poor,GSE109710,GPL24546,subtype_validation_HER2_positive,subtype_HER2_positive,no,yes_limited_panel_only,likely_linear_count_or_unlogged_intensity,limited_subtype_panel_or_gene_space
GSE130786_GPL6480,GENE76,Wang 76-gene distant-metastasis signature,58,48,C11ORF51;C11ORF9;C1ORF66;ETV2;GOLM1;KIAA0913;MLF1IP;NEURL;ORC3L;RFXDC2;TMEM8,76,61,58,82.8,usable_with_minor_missingness,GSE130786,GPL6480,subtype_validation_HER2_positive,subtype_HER2_positive,no,yes,likely_log2_or_normalized_continuous,subtype_validation_only
GSE163882_GPL18573,GENE76,Wang 76-gene distant-metastasis signature,58,49,C11ORF51;C11ORF9;C1ORF66;GOLM1;KIAA0913;MLF1IP;NEURL;ORC3L;RFXDC2;TMEM8,76,61,58,84.5,usable_with_minor_missingness,GSE163882,GPL18573,external_validation_6_RNAseq_FFPE,full_benchmark,yes,no,likely_linear_count_or_unlogged_intensity,core_full_benchmark
GSE194040_GPL20078,GENE76,Wang 76-gene distant-metastasis signature,58,49,C11ORF51;C11ORF9;C1ORF66;GOLM1;KIAA0913;MLF1IP;NEURL;ORC3L;RFXDC2;TMEM8,76,61,58,84.5,usable_with_minor_missingness,GSE194040,GPL20078,large_stress_test_I-SPY2,full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive,stress_test_only,yes,likely_log2_or_normalized_continuous,large_stress_test
GSE194040_GPL30493,GENE76,Wang 76-gene distant-metastasis signature,58,48,C11ORF51;C11ORF9;C1ORF66;ETV2;GOLM1;KIAA0913;MLF1IP;NEURL;ORC3L;RFXDC2;TMEM8,76,61,58,82.8,usable_with_minor_missingness,GSE194040,GPL30493,large_stress_test_I-SPY2,full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive,stress_test_only,yes,likely_log2_or_normalized_continuous,large_stress_test
GSE20271_GPL96,GENE76,Wang 76-gene distant-metastasis signature,58,49,C11ORF51;C11ORF9;C1ORF66;GOLM1;KIAA0913;MLF1IP;NEURL;ORC3L;RFXDC2;TMEM8,76,61,58,84.5,usable_with_minor_missingness,GSE20271,GPL96,external_validation_1,full_benchmark,yes,no,likely_linear_count_or_unlogged_intensity,core_full_benchmark
GSE25066_GPL96,GENE76,Wang 76-gene distant-metastasis signature,58,49,C11ORF51;C11ORF9;C1ORF66;GOLM1;KIAA0913;MLF1IP;NEURL;ORC3L;RFXDC2;TMEM8,76,61,58,84.5,usable_with_minor_missingness,GSE25066,GPL96,discovery_model_reconstruction_base,full_benchmark,yes,no,likely_log2_or_normalized_continuous,core_full_benchmark
GSE32646_GPL570,GENE76,Wang 76-gene distant-metastasis signature,58,49,C11ORF51;C11ORF9;C1ORF66;GOLM1;KIAA0913;MLF1IP;NEURL;ORC3L;RFXDC2;TMEM8,76,61,58,84.5,usable_with_minor_missingness,GSE32646,GPL570,external_validation_2_and_TNBC_ER_negative,full_benchmark;subtype_TNBC_ER_negative,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE41998_GPL571,GENE76,Wang 76-gene distant-metastasis signature,58,49,C11ORF51;C11ORF9;C1ORF66;GOLM1;KIAA0913;MLF1IP;NEURL;ORC3L;RFXDC2;TMEM8,76,61,58,84.5,usable_with_minor_missingness,GSE41998,GPL571,external_validation_3,full_benchmark,yes,no,likely_log2_or_normalized_continuous,core_full_benchmark
GSE50948_GPL570,GENE76,Wang 76-gene distant-metastasis signature,58,49,C11ORF51;C11ORF9;C1ORF66;GOLM1;KIAA0913;MLF1IP;NEURL;ORC3L;RFXDC2;TMEM8,76,61,58,84.5,usable_with_minor_missingness,GSE50948,GPL570,external_validation_4_and_HER2_positive,full_benchmark;subtype_HER2_positive,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE66305_GPL570,GENE76,Wang 76-gene distant-metastasis signature,58,49,C11ORF51;C11ORF9;C1ORF66;GOLM1;KIAA0913;MLF1IP;NEURL;ORC3L;RFXDC2;TMEM8,76,61,58,84.5,usable_with_minor_missingness,GSE66305,GPL570,external_validation_5_and_HER2_positive,full_benchmark;subtype_HER2_positive,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE106977_GPL17586,GGI_128_PROBE,Genomic Grade Index implementation in genefu,99,0,ASPM;AURKA;AURKB;BBS1;BIRC5;BLM;BUB1;BUB1B;C11ORF60;C11ORF63;C12ORF48;C16ORF61;C20ORF24;CCNA2;CCNB1;CCNB2;CCNE2;CCT5;CDC2;CDC20;CDC25A;CDCA3;CDCA8;CDK2;CDKN3;CENPA;CENPE;CENPF;CENPN;CEP55;CX3CR1;CYBRD1;DDX39;DLG7;DONSON;ESPL1;EXO1;FAM64A;FEN1;FOXM1;FRY;GMPS;GTSE1;H2AFZ;HMGB3;HMMR;IFT88;KIF11;KIF14;KIF15;KIF20A;KIF2C;KIF4A;KIFC1;KNTC2;KPNA2;LAMB2;LMNB1;MAD2L1;MARS;MCM10;MCM2;MCM4;MELK;MKI67;MLF1IP;MYBL2;NCAPG;NCAPH;NUDT1;NUSAP1;OIP5;ORMDL2;PIGV;PLK1;POLQ;PRC1;PTTG1;RACGAP1;RNASEH2A;RRM2;SESN1;SHMT2;SIRT3;SLC7A5;SPAG5;STARD13;TIMELESS;TPT1;TPX2;TRIP13;TROAP;TTK;TUBA6;UBE2C;UBE2N;UBE2S;WDR19;ZWINT,128,112,99,0,poor,GSE106977,GPL17586,subtype_validation_TNBC,subtype_TNBC_ER_negative,no,limited_gene_space_review_needed,likely_log2_or_normalized_continuous,limited_subtype_panel_or_gene_space
GSE109710_GPL24546,GGI_128_PROBE,Genomic Grade Index implementation in genefu,99,27,ASPM;AURKB;BBS1;BLM;BUB1B;C11ORF60;C11ORF63;C12ORF48;C16ORF61;C20ORF24;CCNB2;CCT5;CDC2;CDCA3;CDCA8;CDK2;CENPA;CENPE;CENPN;CX3CR1;CYBRD1;DDX39;DLG7;DONSON;ESPL1;FAM64A;FEN1;FRY;GMPS;GTSE1;H2AFZ;HMGB3;HMMR;IFT88;KIF11;KIF14;KIF15;KIF20A;KIF4A;KPNA2;LAMB2;LMNB1;MARS;MCM2;MCM4;MLF1IP;NCAPG;NCAPH;NUSAP1;OIP5;ORMDL2;PIGV;PLK1;POLQ;PRC1;RACGAP1;RNASEH2A;SESN1;SHMT2;SIRT3;SLC7A5;SPAG5;STARD13;TIMELESS;TPT1;TPX2;TROAP;TUBA6;UBE2N;UBE2S;WDR19;ZWINT,128,112,99,27.3,poor,GSE109710,GPL24546,subtype_validation_HER2_positive,subtype_HER2_positive,no,yes_limited_panel_only,likely_linear_count_or_unlogged_intensity,limited_subtype_panel_or_gene_space
GSE130786_GPL6480,GGI_128_PROBE,Genomic Grade Index implementation in genefu,99,89,C11ORF60;C12ORF48;C16ORF61;CDC2;DDX39;DLG7;KNTC2;MLF1IP;TUBA6;UBE2C,128,112,99,89.9,usable_with_minor_missingness,GSE130786,GPL6480,subtype_validation_HER2_positive,subtype_HER2_positive,no,yes,likely_log2_or_normalized_continuous,subtype_validation_only
GSE163882_GPL18573,GGI_128_PROBE,Genomic Grade Index implementation in genefu,99,90,C11ORF60;C12ORF48;C16ORF61;CDC2;DDX39;DLG7;KNTC2;MLF1IP;TUBA6,128,112,99,90.9,usable_with_minor_missingness,GSE163882,GPL18573,external_validation_6_RNAseq_FFPE,full_benchmark,yes,no,likely_linear_count_or_unlogged_intensity,core_full_benchmark
GSE194040_GPL20078,GGI_128_PROBE,Genomic Grade Index implementation in genefu,99,90,C11ORF60;C12ORF48;C16ORF61;CDC2;DDX39;DLG7;KNTC2;MLF1IP;TUBA6,128,112,99,90.9,usable_with_minor_missingness,GSE194040,GPL20078,large_stress_test_I-SPY2,full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive,stress_test_only,yes,likely_log2_or_normalized_continuous,large_stress_test
GSE194040_GPL30493,GGI_128_PROBE,Genomic Grade Index implementation in genefu,99,90,C11ORF60;C12ORF48;C16ORF61;CDC2;DDX39;DLG7;KNTC2;MLF1IP;TUBA6,128,112,99,90.9,usable_with_minor_missingness,GSE194040,GPL30493,large_stress_test_I-SPY2,full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive,stress_test_only,yes,likely_log2_or_normalized_continuous,large_stress_test
GSE20271_GPL96,GGI_128_PROBE,Genomic Grade Index implementation in genefu,99,90,C11ORF60;C12ORF48;C16ORF61;CDC2;DDX39;DLG7;KNTC2;MLF1IP;TUBA6,128,112,99,90.9,usable_with_minor_missingness,GSE20271,GPL96,external_validation_1,full_benchmark,yes,no,likely_linear_count_or_unlogged_intensity,core_full_benchmark
GSE25066_GPL96,GGI_128_PROBE,Genomic Grade Index implementation in genefu,99,90,C11ORF60;C12ORF48;C16ORF61;CDC2;DDX39;DLG7;KNTC2;MLF1IP;TUBA6,128,112,99,90.9,usable_with_minor_missingness,GSE25066,GPL96,discovery_model_reconstruction_base,full_benchmark,yes,no,likely_log2_or_normalized_continuous,core_full_benchmark
GSE32646_GPL570,GGI_128_PROBE,Genomic Grade Index implementation in genefu,99,90,C11ORF60;C12ORF48;C16ORF61;CDC2;DDX39;DLG7;KNTC2;MLF1IP;TUBA6,128,112,99,90.9,usable_with_minor_missingness,GSE32646,GPL570,external_validation_2_and_TNBC_ER_negative,full_benchmark;subtype_TNBC_ER_negative,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE41998_GPL571,GGI_128_PROBE,Genomic Grade Index implementation in genefu,99,90,C11ORF60;C12ORF48;C16ORF61;CDC2;DDX39;DLG7;KNTC2;MLF1IP;TUBA6,128,112,99,90.9,usable_with_minor_missingness,GSE41998,GPL571,external_validation_3,full_benchmark,yes,no,likely_log2_or_normalized_continuous,core_full_benchmark
GSE50948_GPL570,GGI_128_PROBE,Genomic Grade Index implementation in genefu,99,90,C11ORF60;C12ORF48;C16ORF61;CDC2;DDX39;DLG7;KNTC2;MLF1IP;TUBA6,128,112,99,90.9,usable_with_minor_missingness,GSE50948,GPL570,external_validation_4_and_HER2_positive,full_benchmark;subtype_HER2_positive,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE66305_GPL570,GGI_128_PROBE,Genomic Grade Index implementation in genefu,99,90,C11ORF60;C12ORF48;C16ORF61;CDC2;DDX39;DLG7;KNTC2;MLF1IP;TUBA6,128,112,99,90.9,usable_with_minor_missingness,GSE66305,GPL570,external_validation_5_and_HER2_positive,full_benchmark;subtype_HER2_positive,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE106977_GPL17586,IFNG_18,IFN-gamma-related 18-gene immune profile,18,0,CCL5;CD27;CD274;CD8A;CXCL10;CXCL13;CXCL9;GZMB;HLA-DRA;HLA-E;IDO1;IFNG;LAG3;NKG7;PDCD1LG2;PSMB10;STAT1;TIGIT,18,18,18,0,poor,GSE106977,GPL17586,subtype_validation_TNBC,subtype_TNBC_ER_negative,no,limited_gene_space_review_needed,likely_log2_or_normalized_continuous,limited_subtype_panel_or_gene_space
GSE109710_GPL24546,IFNG_18,IFN-gamma-related 18-gene immune profile,18,8,CD274;CD8A;GZMB;HLA-DRA;HLA-E;IDO1;NKG7;PDCD1LG2;PSMB10;TIGIT,18,18,18,44.4,poor,GSE109710,GPL24546,subtype_validation_HER2_positive,subtype_HER2_positive,no,yes_limited_panel_only,likely_linear_count_or_unlogged_intensity,limited_subtype_panel_or_gene_space
GSE130786_GPL6480,IFNG_18,IFN-gamma-related 18-gene immune profile,18,18,"",18,18,18,100,excellent,GSE130786,GPL6480,subtype_validation_HER2_positive,subtype_HER2_positive,no,yes,likely_log2_or_normalized_continuous,subtype_validation_only
GSE163882_GPL18573,IFNG_18,IFN-gamma-related 18-gene immune profile,18,18,"",18,18,18,100,excellent,GSE163882,GPL18573,external_validation_6_RNAseq_FFPE,full_benchmark,yes,no,likely_linear_count_or_unlogged_intensity,core_full_benchmark
GSE194040_GPL20078,IFNG_18,IFN-gamma-related 18-gene immune profile,18,18,"",18,18,18,100,excellent,GSE194040,GPL20078,large_stress_test_I-SPY2,full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive,stress_test_only,yes,likely_log2_or_normalized_continuous,large_stress_test
GSE194040_GPL30493,IFNG_18,IFN-gamma-related 18-gene immune profile,18,18,"",18,18,18,100,excellent,GSE194040,GPL30493,large_stress_test_I-SPY2,full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive,stress_test_only,yes,likely_log2_or_normalized_continuous,large_stress_test
GSE20271_GPL96,IFNG_18,IFN-gamma-related 18-gene immune profile,18,16,CD274;TIGIT,18,18,18,88.9,usable_with_minor_missingness,GSE20271,GPL96,external_validation_1,full_benchmark,yes,no,likely_linear_count_or_unlogged_intensity,core_full_benchmark
GSE25066_GPL96,IFNG_18,IFN-gamma-related 18-gene immune profile,18,16,CD274;TIGIT,18,18,18,88.9,usable_with_minor_missingness,GSE25066,GPL96,discovery_model_reconstruction_base,full_benchmark,yes,no,likely_log2_or_normalized_continuous,core_full_benchmark
GSE32646_GPL570,IFNG_18,IFN-gamma-related 18-gene immune profile,18,18,"",18,18,18,100,excellent,GSE32646,GPL570,external_validation_2_and_TNBC_ER_negative,full_benchmark;subtype_TNBC_ER_negative,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE41998_GPL571,IFNG_18,IFN-gamma-related 18-gene immune profile,18,16,CD274;TIGIT,18,18,18,88.9,usable_with_minor_missingness,GSE41998,GPL571,external_validation_3,full_benchmark,yes,no,likely_log2_or_normalized_continuous,core_full_benchmark
GSE50948_GPL570,IFNG_18,IFN-gamma-related 18-gene immune profile,18,18,"",18,18,18,100,excellent,GSE50948,GPL570,external_validation_4_and_HER2_positive,full_benchmark;subtype_HER2_positive,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE66305_GPL570,IFNG_18,IFN-gamma-related 18-gene immune profile,18,18,"",18,18,18,100,excellent,GSE66305,GPL570,external_validation_5_and_HER2_positive,full_benchmark;subtype_HER2_positive,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE106977_GPL17586,MAMMAPRINT_70,MammaPrint / 70-gene signature,51,0,ALDH4A1;AP2B1;AYTL2;BBC3;C16ORF61;C20ORF46;C9ORF30;CCNE2;CDC42BPA;CDCA7;CENPA;COL4A2;DCK;DIAPH3;DTL;ECT2;EXT1;FGF18;GMPS;GNAZ;GPR126;GPR180;GSTM3;HRASLS;IGFBP5;KNTC2;MCM6;MELK;MMP9;MS4A7;MTDH;NMU;NUSAP1;ORC6;OXCT1;PECI;PITRM1;PRC1;QSCN6L1;RAB6B;RFC4;RTN4RL1;RUNDC1;SCUBE2;SLC2A3;STK32B;TGFB3;TSPYL5;UCHL5;WISP1;ZNF533,70,55,51,0,poor,GSE106977,GPL17586,subtype_validation_TNBC,subtype_TNBC_ER_negative,no,limited_gene_space_review_needed,likely_log2_or_normalized_continuous,limited_subtype_panel_or_gene_space
GSE109710_GPL24546,MAMMAPRINT_70,MammaPrint / 70-gene signature,51,11,ALDH4A1;AP2B1;AYTL2;BBC3;C16ORF61;C20ORF46;C9ORF30;CDC42BPA;CENPA;DCK;DIAPH3;ECT2;EXT1;GMPS;GNAZ;GPR126;GPR180;GSTM3;HRASLS;IGFBP5;MCM6;MMP9;MS4A7;MTDH;NMU;NUSAP1;ORC6;OXCT1;PECI;PITRM1;PRC1;QSCN6L1;RAB6B;RTN4RL1;RUNDC1;SLC2A3;STK32B;TSPYL5;UCHL5;WISP1;ZNF533,70,55,51,21.6,poor,GSE109710,GPL24546,subtype_validation_HER2_positive,subtype_HER2_positive,no,yes_limited_panel_only,likely_linear_count_or_unlogged_intensity,limited_subtype_panel_or_gene_space
GSE130786_GPL6480,MAMMAPRINT_70,MammaPrint / 70-gene signature,51,42,AYTL2;C16ORF61;C20ORF46;C9ORF30;GPR126;KNTC2;ORC6;PECI;QSCN6L1;ZNF533,70,55,51,82.4,usable_with_minor_missingness,GSE130786,GPL6480,subtype_validation_HER2_positive,subtype_HER2_positive,no,yes,likely_log2_or_normalized_continuous,subtype_validation_only
GSE163882_GPL18573,MAMMAPRINT_70,MammaPrint / 70-gene signature,51,43,AYTL2;C16ORF61;C20ORF46;C9ORF30;KNTC2;ORC6;PECI;QSCN6L1;ZNF533,70,55,51,84.3,usable_with_minor_missingness,GSE163882,GPL18573,external_validation_6_RNAseq_FFPE,full_benchmark,yes,no,likely_linear_count_or_unlogged_intensity,core_full_benchmark
GSE194040_GPL20078,MAMMAPRINT_70,MammaPrint / 70-gene signature,51,43,AYTL2;C16ORF61;C20ORF46;C9ORF30;KNTC2;ORC6;PECI;QSCN6L1;ZNF533,70,55,51,84.3,usable_with_minor_missingness,GSE194040,GPL20078,large_stress_test_I-SPY2,full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive,stress_test_only,yes,likely_log2_or_normalized_continuous,large_stress_test
GSE194040_GPL30493,MAMMAPRINT_70,MammaPrint / 70-gene signature,51,43,AYTL2;C16ORF61;C20ORF46;C9ORF30;KNTC2;ORC6;PECI;QSCN6L1;ZNF533,70,55,51,84.3,usable_with_minor_missingness,GSE194040,GPL30493,large_stress_test_I-SPY2,full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive,stress_test_only,yes,likely_log2_or_normalized_continuous,large_stress_test
GSE20271_GPL96,MAMMAPRINT_70,MammaPrint / 70-gene signature,51,37,AYTL2;C16ORF61;C20ORF46;C9ORF30;CDCA7;GPR126;GPR180;KNTC2;MS4A7;ORC6;PECI;QSCN6L1;RTN4RL1;RUNDC1;ZNF533,70,55,51,72.5,limited,GSE20271,GPL96,external_validation_1,full_benchmark,yes,no,likely_linear_count_or_unlogged_intensity,core_full_benchmark
GSE25066_GPL96,MAMMAPRINT_70,MammaPrint / 70-gene signature,51,37,AYTL2;C16ORF61;C20ORF46;C9ORF30;CDCA7;GPR126;GPR180;KNTC2;MS4A7;ORC6;PECI;QSCN6L1;RTN4RL1;RUNDC1;ZNF533,70,55,51,72.5,limited,GSE25066,GPL96,discovery_model_reconstruction_base,full_benchmark,yes,no,likely_log2_or_normalized_continuous,core_full_benchmark
GSE32646_GPL570,MAMMAPRINT_70,MammaPrint / 70-gene signature,51,42,AYTL2;C16ORF61;C20ORF46;C9ORF30;GPR126;KNTC2;ORC6;PECI;QSCN6L1;ZNF533,70,55,51,82.4,usable_with_minor_missingness,GSE32646,GPL570,external_validation_2_and_TNBC_ER_negative,full_benchmark;subtype_TNBC_ER_negative,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
