dataset_accession,matrix_label,platform,analysis_set,classifier_id,classifier_score_name,score_status,calibration_bin,n,mean_predicted_probability,observed_pcr_rate,n_pcr
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,4,44,0.23599227960655,0.5,22
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,5,131,0.326424993708422,0.427480916030534,56
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,2,131,0.14793758748519,0.343511450381679,45
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,1,131,0.0803703053644117,0.106870229007634,14
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,3,130,0.192236570736523,0.361538461538462,47
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,4,131,0.242192619273355,0.396946564885496,52
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,2,67,0.143730483408113,0.298507462686567,20
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,3,66,0.191755100667276,0.333333333333333,22
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,1,67,0.082801658982616,0.119402985074627,8
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,4,67,0.243457864437862,0.432835820895522,29
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,5,67,0.323539270864682,0.388059701492537,26
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,5,36,0.349687910819,0.194444444444444,7
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,1,36,0.079683230049526,0.0555555555555556,2
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,4,35,0.249006077823361,0.171428571428571,6
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,2,35,0.13315868251808,0.114285714285714,4
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,3,36,0.187221098624297,0.194444444444444,7
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,1,98,0.0730754120583826,0.0612244897959184,6
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,4,97,0.256938879335115,0.278350515463918,27
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,3,98,0.194163581273134,0.285714285714286,28
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,2,97,0.131119965279402,0.0927835051546392,9
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,5,98,0.35886603380419,0.295918367346939,29
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,5,23,0.369103162480821,0.260869565217391,6
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,3,23,0.19593416147589,0.260869565217391,6
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,4,23,0.248924184044791,0.521739130434783,12
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,1,23,0.0686233668615617,0,0
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,2,23,0.13411830703434,0.130434782608696,3
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,4,50,0.258753855653693,0.28,14
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,5,51,0.336431813907508,0.333333333333333,17
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,3,51,0.205848305192743,0.352941176470588,18
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,2,50,0.134999599816254,0.22,11
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,1,51,0.0625747077061161,0.176470588235294,9
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,2,31,0.145034952780314,0.387096774193548,12
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,5,31,0.315032956473684,0.354838709677419,11
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,3,31,0.187937129689936,0.32258064516129,10
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,1,32,0.0931831871304624,0.09375,3
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,4,31,0.232388711137106,0.548387096774194,17
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,2,17,0.142213583837368,0.176470588235294,3
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,5,18,0.332930502859618,0.388888888888889,7
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,4,17,0.24472077670061,0.294117647058824,5
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,1,18,0.0775009424302243,0.277777777777778,5
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,3,18,0.201687506925513,0.388888888888889,7
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,2,21,0.147946063621659,0.380952380952381,8
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,3,21,0.194134045505566,0.333333333333333,7
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,4,21,0.237641618937553,0.428571428571429,9
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,1,21,0.107644560408819,0.523809523809524,11
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,5,21,0.326353072221362,0.428571428571429,9
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,3,44,0.192757693692451,0.386363636363636,17
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,2,44,0.163317150347197,0.25,11
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,4,44,0.224707312630937,0.431818181818182,19
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,1,45,0.123562713319819,0.266666666666667,12
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,5,45,0.281990722479879,0.466666666666667,21
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,2,131,0.146834182192348,0.351145038167939,46
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,1,131,0.105705153228979,0.274809160305344,36
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,4,131,0.237039363355407,0.305343511450382,40
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,5,131,0.343630973921632,0.32824427480916,43
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,3,130,0.186530690720966,0.376923076923077,49
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,4,56,0.232249192524629,0.375,21
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,2,56,0.149047562798253,0.303571428571429,17
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,3,56,0.185213272917958,0.410714285714286,23
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,1,57,0.103436147739599,0.263157894736842,15
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,5,57,0.322795038835318,0.175438596491228,10
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,5,36,0.338047638164229,0.194444444444444,7
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,1,36,0.113701645583217,0.111111111111111,4
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,2,35,0.14842314510522,0.142857142857143,5
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,3,36,0.18175174194015,0.166666666666667,6
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,4,35,0.228763098333933,0.114285714285714,4
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,5,98,0.321314800518927,0.326530612244898,32
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,2,97,0.156609045046371,0.11340206185567,11
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,4,97,0.236506708502231,0.288659793814433,28
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,3,98,0.189461235092502,0.193877551020408,19
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,1,98,0.110323677716066,0.0918367346938776,9
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,5,23,0.344281317302417,0.304347826086957,7
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,3,23,0.184112999854462,0.391304347826087,9
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,2,23,0.142568245818143,0.260869565217391,6
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,4,23,0.243226459754051,0.130434782608696,3
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,1,23,0.105968383412366,0.0869565217391304,2
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,5,51,0.337246684343208,0.352941176470588,18
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,4,50,0.246135601316312,0.34,17
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,2,50,0.145711852408771,0.22,11
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,3,51,0.194086748133983,0.235294117647059,12
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,1,51,0.0947349820956542,0.215686274509804,11
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,1,32,0.133707735639237,0.28125,9
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,4,31,0.219079660185852,0.32258064516129,10
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,5,31,0.28803304976036,0.387096774193548,12
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,2,31,0.161150121412069,0.32258064516129,10
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,3,31,0.183970842953305,0.387096774193548,12
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,2,17,0.160533041435342,0.352941176470588,6
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,3,18,0.188408640567825,0.222222222222222,4
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,4,17,0.22363751410796,0.411764705882353,7
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,5,18,0.287799607040711,0.277777777777778,5
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,1,18,0.126106753504028,0.277777777777778,5
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,scored_preferred_coverage,3,22,0.164562986292933,0.363636363636364,8
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,scored_preferred_coverage,5,22,0.417586715468444,0.590909090909091,13
