dataset_accession,matrix_label,platform,analysis_set,subtype_group,classifier_id,classifier_score_name,n,n_pcr,n_rd,pcr_prevalence,discovery_aligned_auc,average_precision_pr_auc
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,GENE76,Wang 76-gene weighted risk score,26,10,16,0.384615384615385,0.625,0.521715440356745
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,HER2_positive,GENE76,Wang 76-gene weighted risk score,34,12,22,0.352941176470588,0.458333333333333,0.349975836930705
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,HR_positive_HER2_negative,ENDOPREDICT_11,EndoPredict approximate weighted expression score,55,5,50,0.0909090909090909,0.72,0.165439045183291
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,ENDOPREDICT_11,EndoPredict approximate weighted expression score,26,10,16,0.384615384615385,0.55625,0.478079885800474
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,HER2_positive,ENDOPREDICT_11,EndoPredict approximate weighted expression score,34,12,22,0.352941176470588,0.75,0.549366856975553
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,HR_positive_HER2_negative,IFNG_18,IFN-gamma 18-gene mean z score,55,5,50,0.0909090909090909,0.768,0.288252794423902
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,IFNG_18,IFN-gamma 18-gene mean z score,26,10,16,0.384615384615385,0.51875,0.557909400914516
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,HER2_positive,IFNG_18,IFN-gamma 18-gene mean z score,34,12,22,0.352941176470588,0.742424242424242,0.594817641508818
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,HR_positive_HER2_negative,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,55,5,50,0.0909090909090909,0.728,0.30036036036036
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,26,10,16,0.384615384615385,0.4625,0.521759520672564
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,HER2_positive,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,34,12,22,0.352941176470588,0.689393939393939,0.508398760744298
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,HER2_positive,PAM50,PAM50 non-luminal affinity score,24,6,18,0.25,0.574074074074074,0.313401875901876
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,HR_negative_HER2_unknown,PAM50,PAM50 non-luminal affinity score,125,51,74,0.408,0.525172231054584,0.451106249521132
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,HER2_positive,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,24,6,18,0.25,0.666666666666667,0.403439153439153
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,HR_negative_HER2_unknown,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,125,51,74,0.408,0.520932697403286,0.467574747749292
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,HER2_positive,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,24,6,18,0.25,0.777777777777778,0.73792270531401
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,HR_negative_HER2_unknown,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,125,51,74,0.408,0.474297827239004,0.439990289145903
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,HER2_positive,GENE76,Wang 76-gene weighted risk score,24,6,18,0.25,0.62037037037037,0.425099206349206
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,HR_negative_HER2_unknown,GENE76,Wang 76-gene weighted risk score,125,51,74,0.408,0.543985161632221,0.440598305541465
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,HER2_positive,ENDOPREDICT_11,EndoPredict approximate weighted expression score,24,6,18,0.25,0.601851851851852,0.35805257544388
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,HR_negative_HER2_unknown,ENDOPREDICT_11,EndoPredict approximate weighted expression score,125,51,74,0.408,0.430577636459989,0.387576248460453
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,HER2_positive,IFNG_18,IFN-gamma 18-gene mean z score,24,6,18,0.25,0.694444444444445,0.381439393939394
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,HR_negative_HER2_unknown,IFNG_18,IFN-gamma 18-gene mean z score,125,51,74,0.408,0.576046634870164,0.467108269627885
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,HER2_positive,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,24,6,18,0.25,0.685185185185185,0.365160765160765
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,HR_negative_HER2_unknown,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,125,51,74,0.408,0.579226285108638,0.471733451526584
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,HER2_positive,PAM50,PAM50 non-luminal affinity score,114,44,70,0.385964912280702,0.589448051948052,0.459336647157508
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,HR_positive_HER2_negative,PAM50,PAM50 non-luminal affinity score,26,4,22,0.153846153846154,0.806818181818182,0.515909090909091
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,PAM50,PAM50 non-luminal affinity score,16,5,11,0.3125,0.527272727272727,0.376923076923077
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,HER2_positive,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,114,44,70,0.385964912280702,0.523701298701299,0.466460281534336
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,HR_positive_HER2_negative,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,26,4,22,0.153846153846154,0.863636363636364,0.690476190476191
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,16,5,11,0.3125,0.4,0.295278055278055
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,HER2_positive,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,114,44,70,0.385964912280702,0.615584415584416,0.529230810763421
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,HR_positive_HER2_negative,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,26,4,22,0.153846153846154,0.965909090909091,0.892857142857143
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,16,5,11,0.3125,0.418181818181818,0.300505050505051
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,HER2_positive,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,114,44,70,0.385964912280702,0.493181818181818,0.373335139028068
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,HR_positive_HER2_negative,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,26,4,22,0.153846153846154,0.909090909090909,0.833333333333333
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,16,5,11,0.3125,0.436363636363636,0.306060606060606
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,HER2_positive,GENE76,Wang 76-gene weighted risk score,114,44,70,0.385964912280702,0.542207792207792,0.423127095201502
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,HR_positive_HER2_negative,GENE76,Wang 76-gene weighted risk score,26,4,22,0.153846153846154,0.818181818181818,0.524242424242424
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,GENE76,Wang 76-gene weighted risk score,16,5,11,0.3125,0.363636363636364,0.287512487512488
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,HER2_positive,ENDOPREDICT_11,EndoPredict approximate weighted expression score,114,44,70,0.385964912280702,0.590584415584416,0.457449267298656
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,HR_positive_HER2_negative,ENDOPREDICT_11,EndoPredict approximate weighted expression score,26,4,22,0.153846153846154,0.931818181818182,0.729166666666667
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,ENDOPREDICT_11,EndoPredict approximate weighted expression score,16,5,11,0.3125,0.436363636363636,0.348095238095238
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,HER2_positive,IFNG_18,IFN-gamma 18-gene mean z score,114,44,70,0.385964912280702,0.53538961038961,0.427528944137602
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,HR_positive_HER2_negative,IFNG_18,IFN-gamma 18-gene mean z score,26,4,22,0.153846153846154,0.727272727272727,0.329365079365079
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,IFNG_18,IFN-gamma 18-gene mean z score,16,5,11,0.3125,0.454545454545455,0.315238095238095
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,HER2_positive,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,114,44,70,0.385964912280702,0.541233766233766,0.448412992452679
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,HR_positive_HER2_negative,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,26,4,22,0.153846153846154,0.636363636363636,0.310763888888889
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,16,5,11,0.3125,0.527272727272727,0.394880952380952
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,HER2_positive,PAM50,PAM50 non-luminal affinity score,88,27,61,0.306818181818182,0.594414086217365,0.391566330377864
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,HER2_positive,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,88,27,61,0.306818181818182,0.524590163934426,0.345829180268141
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,HER2_positive,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,88,27,61,0.306818181818182,0.573770491803279,0.417318471429178
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,HER2_positive,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,88,27,61,0.306818181818182,0.561020036429873,0.393342724690389
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,HER2_positive,GENE76,Wang 76-gene weighted risk score,88,27,61,0.306818181818182,0.515482695810565,0.405588824672469
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,HER2_positive,ENDOPREDICT_11,EndoPredict approximate weighted expression score,88,27,61,0.306818181818182,0.549483910139648,0.338906281440826
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,HER2_positive,IFNG_18,IFN-gamma 18-gene mean z score,88,27,61,0.306818181818182,0.586520947176685,0.353233179873083
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,HER2_positive,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,88,27,61,0.306818181818182,0.599878567091682,0.373897607603929
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,HER2_positive,PAM50,PAM50 non-luminal affinity score,63,29,34,0.46031746031746,0.6947261663286,0.665226070909841
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,HR_positive_HER2_negative,PAM50,PAM50 non-luminal affinity score,45,3,42,0.0666666666666667,0.23015873015873,0.0569344763423711
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,HER2_positive,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,63,29,34,0.46031746031746,0.63184584178499,0.597128066807621
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,HR_positive_HER2_negative,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,45,3,42,0.0666666666666667,0.46031746031746,0.0796296296296296
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,HER2_positive,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,63,29,34,0.46031746031746,0.733265720081136,0.6836924424668
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,HR_positive_HER2_negative,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,45,3,42,0.0666666666666667,0.206349206349206,0.0541738962791594
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,HER2_positive,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,63,29,34,0.46031746031746,0.565922920892495,0.553352646183659
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,HR_positive_HER2_negative,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,45,3,42,0.0666666666666667,0.373015873015873,0.0678298309877257
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,HER2_positive,GENE76,Wang 76-gene weighted risk score,63,29,34,0.46031746031746,0.489858012170385,0.469252468014624
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,HR_positive_HER2_negative,GENE76,Wang 76-gene weighted risk score,45,3,42,0.0666666666666667,0.285714285714286,0.0597163308589608
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,HER2_positive,ENDOPREDICT_11,EndoPredict approximate weighted expression score,63,29,34,0.46031746031746,0.626774847870183,0.531966011075198
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,HR_positive_HER2_negative,ENDOPREDICT_11,EndoPredict approximate weighted expression score,45,3,42,0.0666666666666667,0.325396825396825,0.0648185711066036
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,HER2_positive,IFNG_18,IFN-gamma 18-gene mean z score,63,29,34,0.46031746031746,0.604462474645031,0.583318873851034
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,HR_positive_HER2_negative,IFNG_18,IFN-gamma 18-gene mean z score,45,3,42,0.0666666666666667,0.555555555555556,0.0968253968253968
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,HER2_positive,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,63,29,34,0.46031746031746,0.567951318458418,0.607264533089544
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,HR_positive_HER2_negative,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,45,3,42,0.0666666666666667,0.563492063492063,0.0946955624355005
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,TNBC_or_ER_PR_HER2_negative,PAM50,PAM50 non-luminal affinity score,240,89,151,0.370833333333333,0.574112657191755,0.447245733182178
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,HR_positive_HER2_negative,PAM50,PAM50 non-luminal affinity score,267,46,221,0.172284644194757,0.66289592760181,0.332349644384468
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,HER2_positive,PAM50,PAM50 non-luminal affinity score,147,79,68,0.537414965986395,0.705882352941177,0.652077892805947
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,TNBC_or_ER_PR_HER2_negative,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,238,87,151,0.365546218487395,0.559945192966431,0.413913686788498
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,HR_positive_HER2_negative,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,266,46,220,0.172932330827068,0.692391304347826,0.374887578909325
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,HER2_positive,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,147,79,68,0.537414965986395,0.658600148920328,0.630350316234089
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,TNBC_or_ER_PR_HER2_negative,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,240,89,151,0.370833333333333,0.555547287744624,0.390898087290758
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,HR_positive_HER2_negative,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,267,46,221,0.172284644194757,0.630041314184537,0.273361816486576
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,HER2_positive,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,147,79,68,0.537414965986395,0.723752792256143,0.685232870918525
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,TNBC_or_ER_PR_HER2_negative,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,240,89,151,0.370833333333333,0.592454795743731,0.434994789599403
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,HR_positive_HER2_negative,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,267,46,221,0.172284644194757,0.706866024001574,0.385046112921094
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,HER2_positive,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,147,79,68,0.537414965986395,0.653387937453462,0.634973254355464
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,TNBC_or_ER_PR_HER2_negative,GENE76,Wang 76-gene weighted risk score,240,89,151,0.370833333333333,0.584418483518119,0.427637276695273
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,HR_positive_HER2_negative,GENE76,Wang 76-gene weighted risk score,267,46,221,0.172284644194757,0.500590202636238,0.178116444819646
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,HER2_positive,GENE76,Wang 76-gene weighted risk score,147,79,68,0.537414965986395,0.540953090096798,0.543694827017049
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,TNBC_or_ER_PR_HER2_negative,ENDOPREDICT_11,EndoPredict approximate weighted expression score,240,89,151,0.370833333333333,0.523774090334102,0.380628944881553
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,HR_positive_HER2_negative,ENDOPREDICT_11,EndoPredict approximate weighted expression score,267,46,221,0.172284644194757,0.586169584890813,0.236322260010775
