dataset_accession,matrix_label,matrix_file,platform,gsm_sample_id,patient_id,matrix_sample_id,match_status
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615115,1057,GSM615115,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615116,1061,GSM615116,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615117,1062,GSM615117,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615118,1064,GSM615118,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615119,1067,GSM615119,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615120,1068,GSM615120,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615121,1074,GSM615121,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615122,1078,GSM615122,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615123,1088,GSM615123,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615124,1089,GSM615124,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615125,1092,GSM615125,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615126,1095,GSM615126,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615127,1100,GSM615127,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615128,1106,GSM615128,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615129,1113,GSM615129,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615130,1114,GSM615130,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615131,1123,GSM615131,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615132,1127,GSM615132,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615133,1132,GSM615133,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615134,1134,GSM615134,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615135,1135,GSM615135,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615136,1136,GSM615136,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615137,1138,GSM615137,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615138,1140,GSM615138,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615139,1144,GSM615139,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615140,1145,GSM615140,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615141,1149,GSM615141,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615142,1150,GSM615142,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615143,1155,GSM615143,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615144,1158,GSM615144,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615145,1160,GSM615145,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615146,1163,GSM615146,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615147,1164,GSM615147,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615148,1165,GSM615148,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615149,1169,GSM615149,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615150,1170,GSM615150,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615151,1172,GSM615151,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615152,1173,GSM615152,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615153,1175,GSM615153,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615154,1177,GSM615154,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615155,1180,GSM615155,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615156,1188,GSM615156,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615157,1191,GSM615157,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615158,1193,GSM615158,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615159,1197,GSM615159,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615160,1199,GSM615160,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615161,1200,GSM615161,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615162,1203,GSM615162,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615163,1205,GSM615163,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615164,1208,GSM615164,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615165,1209,GSM615165,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615166,1210,GSM615166,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615167,1216,GSM615167,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615168,1217,GSM615168,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615169,1218,GSM615169,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615170,1219,GSM615170,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615171,1220,GSM615171,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615172,1223,GSM615172,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615173,1225,GSM615173,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615174,1226,GSM615174,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615175,1227,GSM615175,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615176,1231,GSM615176,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615177,1232,GSM615177,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615178,1236,GSM615178,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615179,M106,GSM615179,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615180,M107,GSM615180,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615181,M111,GSM615181,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615182,M113,GSM615182,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615183,M117,GSM615183,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615184,M120,GSM615184,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615185,M121,GSM615185,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615186,M123,GSM615186,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615187,M128,GSM615187,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615188,M129,GSM615188,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615189,M130,GSM615189,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615190,M133,GSM615190,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615191,M136,GSM615191,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615192,M139,GSM615192,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615193,M146,GSM615193,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615194,M153,GSM615194,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615195,M154,GSM615195,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615196,M155,GSM615196,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615197,M156,GSM615197,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615198,M157,GSM615198,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615199,M158,GSM615199,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615200,M165,GSM615200,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615201,M177,GSM615201,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615202,M180,GSM615202,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615203,M181,GSM615203,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615204,M182,GSM615204,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615205,M188,GSM615205,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615206,M189,GSM615206,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615207,M195,GSM615207,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615208,M196,GSM615208,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615209,M199,GSM615209,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615210,M201,GSM615210,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615211,M205,GSM615211,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615212,M206,GSM615212,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615213,M211,GSM615213,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615214,M214,GSM615214,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615215,M215,GSM615215,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615216,M216,GSM615216,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615217,M217,GSM615217,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615218,M219,GSM615218,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615219,M220,GSM615219,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615220,M226,GSM615220,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615221,M227,GSM615221,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615222,M228,GSM615222,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615223,M229,GSM615223,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615224,M231,GSM615224,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615225,M233,GSM615225,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615226,M234,GSM615226,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615227,M236,GSM615227,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615228,M246,GSM615228,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615229,M255,GSM615229,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615230,M259,GSM615230,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615231,M260,GSM615231,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615232,M261,GSM615232,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615233,M263,GSM615233,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615234,M266,GSM615234,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615235,M270,GSM615235,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615236,M280,GSM615236,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615237,M281,GSM615237,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615238,M282,GSM615238,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615239,M283,GSM615239,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615240,M295,GSM615240,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615241,M297,GSM615241,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615242,M301,GSM615242,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615243,M304,GSM615243,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615244,M310,GSM615244,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615245,M315,GSM615245,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615246,M319,GSM615246,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615247,M323,GSM615247,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615248,M332,GSM615248,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615249,M333,GSM615249,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615250,M334,GSM615250,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615251,M339,GSM615251,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615252,M340,GSM615252,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615253,M341,GSM615253,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615254,M343,GSM615254,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615255,M345,GSM615255,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615256,M353,GSM615256,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615257,M355,GSM615257,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615258,M356,GSM615258,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615259,M357,GSM615259,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615260,M360,GSM615260,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615261,M363,GSM615261,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615262,M365,GSM615262,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615263,M367,GSM615263,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615264,M373,GSM615264,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615265,M375,GSM615265,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615266,M384,GSM615266,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615267,M386,GSM615267,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615268,M396,GSM615268,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615269,M399,GSM615269,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615270,M402,GSM615270,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615271,M411,GSM615271,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615272,M417,GSM615272,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615273,M421,GSM615273,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615274,M423,GSM615274,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615275,M425,GSM615275,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615276,M430,GSM615276,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615277,M431,GSM615277,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615278,M433,GSM615278,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615279,M434,GSM615279,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615280,M442,GSM615280,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615281,M447,GSM615281,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615282,M463,GSM615282,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615283,M469,GSM615283,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615284,M485,GSM615284,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615285,M486,GSM615285,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615286,M497,GSM615286,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615287,M502,GSM615287,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615288,M503,GSM615288,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615289,M506,GSM615289,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615290,M507,GSM615290,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615291,M513,GSM615291,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615292,M523,GSM615292,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615293,M524,GSM615293,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615294,M525,GSM615294,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615295,M531,GSM615295,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615296,M534,GSM615296,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615297,M545,GSM615297,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615298,M549,GSM615298,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615299,M556,GSM615299,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615300,M557,GSM615300,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615301,M558,GSM615301,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615302,M559,GSM615302,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615303,M564,GSM615303,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615304,M565,GSM615304,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615305,M566,GSM615305,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615306,M569,GSM615306,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615307,M571,GSM615307,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615308,M577,GSM615308,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615309,M578,GSM615309,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615310,M580,GSM615310,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615311,M581,GSM615311,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615312,M583,GSM615312,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615313,M599,GSM615313,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615314,M601,GSM615314,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615315,M603,GSM615315,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615316,M607,GSM615316,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615317,M608,GSM615317,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615318,M610,GSM615318,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615319,M611,GSM615319,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615320,M612,GSM615320,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615321,M617,GSM615321,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615322,M619,GSM615322,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615323,M624,GSM615323,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615324,M625,GSM615324,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615325,M635,GSM615325,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615326,M636,GSM615326,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615327,M639,GSM615327,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615328,M642,GSM615328,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615329,M643,GSM615329,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615330,M647,GSM615330,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615331,M651,GSM615331,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615332,M652,GSM615332,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615333,M657,GSM615333,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615334,M658,GSM615334,matched
